"gene_i","gene_j","pcor_asthma","pcor_normal","delta","p_emp_lambda_as","p_emp_lambda_no","p_emp","q_fdr"
"201909_at","206700_s_at",0.0259659604622141,0.0305103086923128,-0.00454434823009865,0.343283582089552,0.338308457711443,0.343283582089552,0.987893864013267
"224589_at","224590_at",0.0488084981361978,0.0444967759488804,0.00431172218731743,0.348258706467662,0.338308457711443,0.348258706467662,0.991197856869499
"205000_at","228492_at",0.0352390487870596,0.0331149675423455,0.0021240812447141,0.333333333333333,0.348258706467662,0.348258706467662,0.991197856869499
"213831_at","209480_at",0.064172416802359,0.0687345488147307,-0.00456213201237171,0.353233830845771,0.308457711442786,0.353233830845771,0.992257961529252
"205000_at","223645_s_at",0.0291279829731881,0.0317004735614477,-0.00257249058825959,0.353233830845771,0.348258706467662,0.353233830845771,0.992257961529252
"212205_at","228729_at",0.0225145161338146,0,0.0225145161338146,0.358208955223881,0.338308457711443,0.358208955223881,0.992257961529252
"218195_at","1558956_s_at",0.0175983504128526,0,0.0175983504128526,0.353233830845771,0.358208955223881,0.358208955223881,0.992257961529252
"1570360_s_at","230760_at",0,0.00552171406415415,-0.00552171406415415,0.348258706467662,0.358208955223881,0.358208955223881,0.992257961529252
"224589_at","204410_at",-0.0246754671082429,-0.0289951160727431,0.00431964896450023,0.353233830845771,0.36318407960199,0.36318407960199,0.995393403353602
"206624_at","244482_at",0.0267547912807141,0.0203158451251075,0.00643894615560656,0.36318407960199,0.338308457711443,0.36318407960199,0.995393403353602
"201909_at","224590_at",-0.0374449296534729,-0.0322849974277714,-0.0051599322257015,0.333333333333333,0.368159203980099,0.368159203980099,0.995986252313313
"236694_at","206624_at",0.0274660441530802,0.0235275262928161,0.00393851786026409,0.373134328358209,0.318407960199005,0.373134328358209,0.995986252313313
"228729_at","218349_s_at",0.00455419892783883,0,0.00455419892783883,0.343283582089552,0.373134328358209,0.373134328358209,0.995986252313313
"203967_at","204444_at",0.010891664452154,0,0.010891664452154,0.293532338308458,0.373134328358209,0.373134328358209,0.995986252313313
