"gene_i","gene_j","pcor_asthma","pcor_normal","delta"
"235700_at","226636_at",0.289444053330291,-0.0118006283469176,0.301244681677209
"208719_s_at","216033_s_at",0.315372410910206,0.0143999277224987,0.300972483187707
"213831_at","209970_x_at",0.28069165354993,-0.02001730362413,0.30070895717406
"215379_x_at","216044_x_at",0.287687179907874,-0.0118965720478323,0.299583751955706
"211637_x_at","213572_s_at",-0.319986202205972,-0.0205438850200491,-0.299442317185923
"227462_at","1552703_s_at",0.0333994197850416,0.332808294462009,-0.299408874676967
"211637_x_at","224838_at",-0.330373586204581,-0.0312708004784012,-0.29910278572618
"1558080_s_at","1555594_a_at",-0.332641738191558,-0.0337130557158341,-0.298928682475724
"207861_at","207901_at",0.116476832971524,0.415392355779254,-0.29891552280773
"213757_at","228030_at",0.287160793320966,-0.0116271372782877,0.298787930599254
"231647_s_at","204998_s_at",-0.0548963947059939,-0.353444338884025,0.298547944178031
"224571_at","231576_at",0.379382547156986,0.0809674019232358,0.29841514523375
"208683_at","206618_at",-0.0742189545916156,-0.372311718359554,0.298092763767938
"223062_s_at","1555594_a_at",-0.284062201337199,0.0139579098849428,-0.298020111222142
"210512_s_at","235868_at",0.040982889081242,0.338724033964363,-0.297741144883121
"211881_x_at","216268_s_at",-0.0380047736522608,-0.335254946329833,0.297250172677572
"224837_at","216044_x_at",-0.316988247070228,-0.0202063439385258,-0.296781903131702
"223645_s_at","202935_s_at",-0.0513188305228188,-0.347901824679296,0.296582994156477
"226818_at","217967_s_at",0.0420559172781868,0.338522545028877,-0.296466627750691
"228697_at","226517_at",0.158533943120674,0.454973093846426,-0.296439150725752
"204240_s_at","204444_at",0.341061534913979,0.0446976448374545,0.296363890076524
"217378_x_at","216044_x_at",0.288154777215698,-0.00807693813394522,0.296231715349643
"231576_at","235446_at",0.0528075847177223,0.347732669632275,-0.294925084914552
"235278_at","216576_x_at",0.276604568604847,-0.0182927330483056,0.294897301653153
"243999_at","211637_x_at",0.277105091803625,-0.0171254909107667,0.294230582714392
"201925_s_at","230650_at",0.0670194021835427,0.361249273637055,-0.294229871453512
"226702_at","208828_at",0.0432917793277741,0.337519033488703,-0.294227254160929
"220892_s_at","218349_s_at",0.0751561838864708,0.368970582864263,-0.293814398977792
"212592_at","211798_x_at",0.147904067714143,0.441152690940975,-0.293248623226832
"205544_s_at","233827_s_at",0.396294022233161,0.103051597192725,0.293242425040436
"200799_at","224918_x_at",0.302974710496635,0.0102800112907328,0.292694699205902
"211868_x_at","215245_x_at",-0.0487262037900241,-0.341051189816176,0.292324986026152
"216033_s_at","233827_s_at",-0.304333782775989,-0.0126583418383282,-0.291675440937661
"232080_at","242903_at",0.0713822846849632,0.36192808885731,-0.290545804172347
"218986_s_at","1558956_s_at",0.0556798161059913,0.345855386455932,-0.29017557034994
"233969_at","217235_x_at",0.0565104833381904,0.346641998807192,-0.290131515469001
"213831_at","216491_x_at",0.280810412596369,-0.00876947733640062,0.28957988993277
"207426_s_at","228478_at",0.0433788368198604,0.332483392523833,-0.289104555703972
"224722_at","222848_at",0.055847206664808,0.344690662300569,-0.288843455635761
"229390_at","228390_at",0.0667647479689548,0.355551046801184,-0.28878629883223
"229787_s_at","1555193_a_at",0.0480956171903853,0.335829319288596,-0.287733702098211
"235278_at","210587_at",0.0562796058635241,0.343852650351831,-0.287573044488307
"231577_s_at","209682_at",0.349279293454506,0.0619867257366494,0.287292567717856
"216491_x_at","213534_s_at",-0.307094340436474,-0.0201274482654309,-0.286966892171043
"202935_s_at","209750_at",0.0616124757711607,0.348473381144921,-0.286860905373761
"230877_at","237215_s_at",-0.0434855619347163,-0.330263786823895,0.286778224889179
"238342_at","236641_at",0.0748346999677049,0.361597791291644,-0.286763091323939
"208828_at","216693_x_at",0.0894116363947734,0.375493543588547,-0.286081907193773
"221577_x_at","213524_s_at",0.195979206434606,0.481929063352782,-0.285949856918176
"1553749_at","200952_s_at",-0.121525207513083,-0.407455787753584,0.285930580240501
"212592_at","202364_at",-0.0627441591775128,-0.348599804571303,0.285855645393791
"242714_at","209541_at",-0.0723475195077667,-0.358190924763453,0.285843405255686
"216401_x_at","211338_at",0.27911808296992,-0.00622665757375459,0.285344740543675
"208719_s_at","210105_s_at",-0.299847821226097,-0.0145159325439758,-0.285331888682121
"205544_s_at","210105_s_at",0.295775730812011,0.0104661130953994,0.285309617716612
"224499_s_at","204444_at",0.345115927814613,0.0601629396278402,0.284952988186773
"211074_at","216033_s_at",-0.287607675454577,-0.00273171898443082,-0.284875956470146
"205403_at","206618_at",0.123126874369885,0.407463056980864,-0.28433618261098
"227900_at","229787_s_at",0.294613533416785,0.0105131725322466,0.284100360884538
"203817_at","223940_x_at",0.285630675875486,0.00164246319925437,0.283988212676232
"204271_s_at","1554240_a_at",-0.27615690125037,0.00778909996131253,-0.283946001211682
"214218_s_at","212092_at",-0.0482106335589918,-0.332102419846786,0.283891786287794
"224722_at","216268_s_at",0.148589124317288,0.431900486967987,-0.283311362650699
"237215_s_at","225062_at",0.351580944178899,0.0684005003091809,0.283180443869718
"221727_at","235446_at",-0.0528435694758195,-0.335929868939952,0.283086299464132
"217022_s_at","227711_at",0.0514461028533805,0.334158230021628,-0.282712127168247
"201890_at","224499_s_at",0.0530312182738903,0.335400619190334,-0.282369400916444
"209723_at","230659_at",-0.0559564028407881,-0.338300845312862,0.282344442472074
"211645_x_at","217732_s_at",0.276421571822866,-0.005367766645372,0.281789338468238
"230425_at","209921_at",0.0593898865963244,0.341135122766908,-0.281745236170584
"211637_x_at","216693_x_at",0.325251915164673,0.0437525654472105,0.281499349717462
"224209_s_at","226022_at",0.106227485502869,0.386920313095403,-0.280692827592534
"215379_x_at","205884_at",-0.295697516582671,-0.0154214679164886,-0.280276048666183
"214916_x_at","222846_at",0.0777374326227152,0.35782227352009,-0.280084840897374
"225626_at","213689_x_at",0.087166596945733,0.367189074885956,-0.280022477940223
"230128_at","242903_at",0.066024216411911,0.345381857384378,-0.279357640972467
"224568_x_at","211368_s_at",0.282700166646868,0.00384902253640559,0.278851144110463
"214539_at","230877_at",-0.0594485311904508,-0.33818361921465,0.278735088024199
"217127_at","213470_s_at",-0.064895895609557,-0.343564349767317,0.27866845415776
"219463_at","209031_at",0.0820928107038153,0.360739123813172,-0.278646313109357
"211555_s_at","214916_x_at",0.0877021090210999,0.366178301056802,-0.278476192035702
"1554240_a_at","214971_s_at",0.0601417108436759,0.337955033650487,-0.277813322806811
"1552703_s_at","235446_at",-0.0503082504291591,-0.327983304238018,0.277675053808859
"1562836_at","231576_at",0.154182794317974,0.431836346469282,-0.277653552151308
"215379_x_at","AFFX-BioB-M_at",-0.353548905035686,-0.0766372947195849,-0.276911610316102
"221253_s_at","224406_s_at",0.38072496681602,0.104121164730185,0.276603802085835
"1554240_a_at","1556821_x_at",0.0755288253074824,0.351201473490282,-0.275672648182799
"211637_x_at","210839_s_at",0.275423398195418,-0.000127277225187157,0.275550675420605
"214677_x_at","214023_x_at",0.0551569623266969,0.33042271985771,-0.275265757531013
"202554_s_at","224918_x_at",0.0597101339577611,0.33497193972928,-0.275261805771519
"217179_x_at","214953_s_at",0.294436183410996,0.0195906555450787,0.274845527865917
"209025_s_at","1555996_s_at",0.337325955772312,0.063827971887065,0.273497983885247
"213831_at","215379_x_at",0.298097255727701,0.0246405366951255,0.273456719032575
"223565_at","1555594_a_at",-0.363268869234962,-0.0899780137052308,-0.273290855529731
"216984_x_at","206478_at",0.0693435183207061,0.341968231188353,-0.272624712867647
"1563209_a_at","230970_at",0.0568046435148463,0.329111977121317,-0.272307333606471
"1563357_at","204444_at",0.284282572551414,0.012333551831461,0.271949020719953
"227900_at","231577_s_at",-0.320193165979137,-0.0491924037149381,-0.271000762264199
"209487_at","204759_at",-0.0576692568718871,-0.328573718300882,0.270904461428995
"214452_at","227354_at",0.338491490161486,0.0681757993698085,0.270315690791678
"211366_x_at","220892_s_at",0.321894415917968,0.0516155703438309,0.270278845574137
"201122_x_at","222908_at",0.281682532129708,0.0122476537219781,0.26943487840773
"214539_at","1567628_at",0.0588189204604707,0.328248604153962,-0.269429683693491
"206975_at","216693_x_at",0.126618274769044,0.395610799167346,-0.268992524398303
"236165_at","220195_at",0.0737576813576544,0.342608778907379,-0.268851097549724
"223434_at","205655_at",0.0787970597486087,0.347633242848307,-0.268836183099698
"216945_x_at","204148_s_at",-0.303305657280858,-0.0348480052980007,-0.268457651982858
"1558080_s_at","214315_x_at",0.0755669546192554,0.343478560538732,-0.267911605919476
"203817_at","44783_s_at",0.0787282265088784,0.346502345717441,-0.267774119208562
"225768_at","209750_at",0.0878900441888052,0.35546990037697,-0.267579856188164
"212105_s_at","232210_at",-0.115431571796847,-0.382177478092662,0.266745906295814
"213831_at","231577_s_at",-0.0623000027452096,-0.328067958726907,0.265767955981697
"218793_s_at","223501_at",0.0908368874954914,0.356560640760494,-0.265723753265003
"208151_x_at","221253_s_at",0.285728681338107,0.020286716250466,0.265441965087641
"212092_at","233827_s_at",0.0796298704895281,0.34390423092397,-0.264274360434442
"212314_at","209987_s_at",-0.0798575000341711,-0.343982132806156,0.264124632771985
"210587_at","217859_s_at",0.177672690553317,0.441715607531297,-0.26404291697798
"201242_s_at","1555996_s_at",-0.11598255536776,-0.3799321435838,0.26394958821604
